"FileName","RelationType","Entity1Mention","Entity1Type","Entity2Mention","Entity2Type","Context"
"FTA_1020_Fidelis_Inocnation_FINAL","hasproduct","Cisco","ORG","AnyConnect","PRODUCT","The initial launcher / dropper writes two executable files to the hard drive , the RAT Installer ( MD5 : 4F4BF27B738FF8F2A89D1BC487B054A8 ) and the Cisco AnyConnect decoy ( MD5 : 2F7E5F91BE1F5BE2B2F4FDA0910A4C16 ) . "
"OceanLotusReport","hasproduct","Qihoo","ORG","360","PRODUCT","Qihoo 360 strives to provide services that protect users ' computers and mobile devices against malware and malicious websites . "
"winnti_pharmaceutical","hasproduct","Adobe","ORG","Service","PRODUCT","and it turned out to be the name of the well - known global pharmaceutical company headquartered in Europe : Pic.1 Configuration block Besides the sample tag , the configuration block includes the names of other files involved in the working of the RAT platform and the service name ( Adobe Service ) , after which malware is installed . "
"wp-operation-woolen-goldfish","hasattacklocation","Masoud","PERSON","Iran","GPE","The blog only contained two posts signed by Masoud_pk , which could be part of the real identity of Wool3nh4 t. Masoud is the one of the top 50 commonly used first names in Iran . "
"Inside_EquationDrug_Espionage_Platform","indicates","2012.08.14  2013.05.24","TIME","hours","TIME","In fact , the timestamps look very realistic and match the working days and hours of a well - organized software developer from timezone UTC-3 or UTC-4 , if you assume that they come to work at 8 or 9 am . The timestamps match the working days of software developer from timezone UTC-3 or UTC-4 # EquationAPT Tweet[17 ] 6 of 30 03/22/2015 10:21 PM http://securelist.com/blog/research/69203/inside-t ... And ô€€²nally , in case you are wondering if the developers work on public holidays , you can check this for yourself against the full list of their working dates : 2001.08.17 2007.12.11 2009.04.16 2011.10.20 2012.08.31 2013.06.11 2001.08.23 2007.12.17 2009.06.05 2011.10.26 2012.09.28 2013.06.26 2003.08.16 2008.01.01 2009.12.15 2012.03.06 2012.10.23 2013.08.09 2003.08.17 2008.01.23 2010.01.22 2012.03.22 2012.11.02 2013.08.28 2005.03.16 2008.01.24 2010.02.19 2012.04.03 2012.11.06 2013.10.16 2005.09.08 2008.01.29 2010.02.22 2012.04.04 2013.01.08 2013.11.04 2006.06.15 2008.01.30 2010.03.27 2012.04.05 2013.02.07 2013.11.26 2006.09.18 2008.04.24 2010.06.15 2012.04.12 2013.02.21 2013.12.04 2006.10.04 2008.05.07 2011.02.09 2012.07.02 2013.02.22 2013.12.05 2006.10.16 2008.05.09 2011.02.23 2012.07.09 2013.02.27 2013.12.13 2007.07.12 2008.06.17 2011.08.08 2012.07.17 2013.04.16 2007.10.02 2008.09.17 2011.08.30 2012.08.02 2013.05.08 2007.10.16 2008.09.24 2011.09.02 2012.08.03 2013.05.14 2007.12.10 2008.12.05 2011.10.04 2012.08.14 2013.05.24 Conclusions EquationDrug represents the main espionage platform from the Equation Group . "
"Operation RussianDoll","hasproduct","Microsoft","ORG","Windows","PRODUCT","Adobe Flash and a brandnew one in Microsoft Windows . Using the Dynamic Threat Intelligence Cloud ( DTI ) , FireEye researchers detected a pattern of attacks beginning on April 13th , 2015 . "
"Pitty_Tiger_Final_Report","hasproduct","Microsoft","ORG","Windows","PRODUCT","The presence of a Chinese version of “ calc.exe ” , the official calculator provided in Microsoft Windows , is interesting . "
"bcs_wp_InceptionReport_EN_v12914","hasproduct","BlackBerry","ORG","User-Agent","PRODUCT","Mobile malware : Blackberry By now , it came as no surprise when we triggered a download with a BlackBerry User - Agent . "
"GlobalThreatIntelReport","hasattacklocation","SeANux","ORG","Canada","GPE","DeADeye JACKAL even developed and released its own Linux - based operating system , called SeANux , at the end of October 2014 . DeADeye JACKAL continues its international censorship of online articles that it deems detrimental to Syria or to Syrian President Bashar Assad . On Thanksgiving , the group defaced just over 60 websites , including media websites.1 The websites were primarily from the United States and the United Kingdom but also included Japan , Canada , the Philippines , New Zealand , Mexico , and South Africa . "
"sec14-paper-marczak","hasproduct","FinSpy","ORG","v3.00","PRODUCT","This executable contained a similar string , except it identi­fed itself as FinSpy v3.00 , and attempted to connect to tiger.gamma-international.de , a domain registered to Gamma International GmbH. Analysis of capabilities : We found that the spyware has a modular design , and can download additional modules from a command & control ( C&C ) server , including password cap­ture ( from over 20 applications ) and recording of screenshots , Skype chat , fle transfers , and input from the computer ’s micro­phone and webcam . "
