"FileName","RelationType","Entity1Mention","Entity1Type","Entity2Mention","Entity2Type","Context"
"DNSpionage Campaign Targets Middle East","hasproduct","Microsoft","ORG","Word","PRODUCT","The macros , while available through analysis , are also password - protected in Microsoft Word to stop the victim from exploring the macro code via Microsoft Office . "
"rpt_APT37","hasproduct","Adobe","ORG","Flash","PRODUCT","Browser , operating system , and Adobe Flash version are detected by RICECURRY , which may be a modified version of PluginDetect . Exploit . APT.RICECURRY RUHAPPY RUHAPPY is a destructive wiper tool seen on systems targeted by DOGCALL . "
"Hard Pass_ Declining APT34’s Invite to Join Their Professional Network","hasproduct","Microsoft","ORG","Excel","PRODUCT","The offending application was identi.ed as Microsoft Excel and was stopped immediately by FireEye Endpoint Security¡¯s ExploitGuard engine . "
"20180503_Burning_Umbrella","hasproduct","Microsoft","ORG","Windows","PRODUCT","Interestingly , this was the first identified trojan for the 64 - bit Microsoft Windows operating system with a valid digital signature as noted by the author . "
"silence_moving-into-the-darkside","hasproduct","AWS","ORG","CBR","PRODUCT","In addition , the workstation for using AWS CBR was found to launch procdump.exe , which might have been used to create a copy ( dump ) of lssas.exe , which , in turn , could be used to extract passwords using Mimikatz . "
"An analysis of RoyalCli and RoyalDNS","hasproduct","Microsoft","ORG","SharePoint","PRODUCT","Additional tools were recovered during the incident , including a network scanning / enumeration tool , the archiving tool WinRAR and a bespoke Microsoft SharePoint enumeration and data dumping tool , known as ' spwebmember ' . "
"adobe-flash-zero-day-targeted-attack","hasproduct","Adobe","ORG","Flash","PRODUCT","In 2015 , leaks of conversations involving Hacking Team revealed that zero - day exploits for Adobe Flash were being sold for $ 30k-$45k per exploit . "
"silence_moving-into-the-darkside","hasproduct","Microsoft","ORG","Word","PRODUCT","After opening the attachment , an EPS script was launched , which exploited two Microsoft Word vulnerabilities , CVE-2017 - 0262 and CVE-2017 - 0263 . "
"silence_moving-into-the-darkside","hasproduct","Microsoft","ORG","WinHelp","PRODUCT","It was introduced as the successor to Microsoft WinHelp with the release of Windows 98 and is still supported in Windows 7 . "
"Hard Pass_ Declining APT34’s Invite to Join Their Professional Network","hasproduct","Windows","ORG","PowerShell","PRODUCT","Additionally , VALUEVAULT will call Windows PowerShell to extract browser history in order to match browser passwords with visited sites . "
"apt-attack-middle-east-big-bang","hasproduct","Beacon","ORG","AntiVirus","PRODUCT","the system ( user and PC names , OS version and AntiVirus engines ) , and ex.ltrate the gathered information . Figure 4 : Initial Beacon . "
"analyzing WindShift implant OSX.WindTail","hasproduct","Microsoft","ORG","Of.ce","PRODUCT","If we download and extract these applications , the uses Microsoft Of.ce icons , likely to avoid raising suspicion : In his talk , Karim notes , ¡ ° [ the WindShift ] attackers gave a backdoor a realistic look by mimicking an Excel sheet icon¡±. ¡ ­the fact that our samples all similarly utilize Microsoft Of.ce icons , is the .rst "
"rpt-apt38-2018-web_v4","hasattacklocation","SWIFT","ORG","India","GPE","Per public reporting , threat actors targeted Banco del Austro in Ecuador with fraudulent SWIFT transactions in 2015 . While we have limited insight into this targeting , we have identified APT38 targeting South American entities previously . . In August 2018 , threat actors targeted Cosmos Bank in India using both fraudulent ATM and SWIFT transactions . Public reports have indicated that individuals located in India were used to assist in withdrawing fraudulent funds . "
"Russian-language actor exploits hype over Telegram ban in Central Asia","hasproduct","TurboPower","ORG","Abbrevia","PRODUCT","The Trojan uses third - party Delphi libraries like The Indy Project for JSON - based C2 communications and TurboPower Abbrevia ( sourceforge.net/projects/tpabbrevia ) for compression . "
"Latest Trickbot Campaign Delivered via Highly Obfuscated JS File ","hasproduct","Mozilla","ORG","Filezilla","PRODUCT","Application credentials Browser credentials and information ( Google Chrome , Internet Explorer , Microsoft Edge , and Mozilla Filezilla Firefox ) "
"silence_moving-into-the-darkside","hasproduct","Microsoft","ORG","Word","PRODUCT","It allocates memory in the Microsoft Word process at the address 0x58a80000 and writes a shellcode ( hereinafter ¨C Shell2 ) there . "
"deciphering-confucius","hasproduct","explainswhy.hayat22.was","ORG","Windows","PRODUCT","He was probablyeither using the Windows version of Secret Chat Point or its web interface , which explainswhy.hayat22.was urging him to install Android Tweety Chat . "
