"FileName","RelationType","Entity1Mention","Entity1Type","Entity2Mention","Entity2Type","Context"
"WickedRose_andNCPH","hasproduct","Microsoft","ORG","Word","PRODUCT","4 June 21 , 2007 Ð Continued US Targeted Attacks Just over a month later , following initial GinWui based targeted attacks , another Microsoft Word exploit occurs on June 21 , 2006 . "
"shadows-in-the-cloud","hasproduct","Microsoft","ORG","Word","PRODUCT","The malware then exploits a vulnerability in the userÕs client side software , such as a browser , Microsoft Word , Adobe Reader and so on , and begins communicating with a command and control server . "
"wp_ixeshe","hasproduct","Microsoft","ORG","XP","PRODUCT","Ó The OS the C&C server uses is also an English install of Microsoft XP . "
"Crouching_tiger_hidden_dragon","hasproduct","Adobe","ORG","PDF","PRODUCT","Typically however , the attackers target the desktops and laptops of the victimÕs organisation and send emails with an attachment containing an exploit , ( often an Adobe PDF or Microsoft Office document ) that is targeted at one person . "
"Duqu_Trojan_Questions_and_Answers","hasproduct","Microsoft","ORG","Windows","PRODUCT","This is normally the ex . tension Microsoft Windows uses for precompiled setup information files . "
"trojan_taidoor-targeting_think_tanks","hasattacktime","Trojan","ORG","May 2009","DATE","Trojan . Taidoor dates back to March 2008 and in - field telem.etry has identified Taidoor being used in targeted attack emails since May 2009 . Fourteen distinct versions and three sepa.rate families of the Trojan have been identified to date . "
"wp_luckycat_redux","hasattacklocation","ÒLuckycatÓ","ORG","Japan","GPE","We have been tracking the campaign dubbed ÒLuckycatÓ and found that in addition to targeting Indian military research institutions , as previously revealed by Symantec , the same campaign targeted entities in Japan as well as the Tibetan community.3 The Luckycat campaign targeted the following industries and/or communities : ¥ Aerospace ¥ Energy ¥ Engineering "
"wp_the_taidoor_campaign","hasproduct","Microsoft","ORG","Excel","PRODUCT","Historical data , on the other hand , shows that the Taidoor attackers also distributed emails with malicious .PDF file attachments that exploited Adobe Reader , Acrobat , or Flash Player vulnerabilities ( e.g. , CVE-2009 - 4324 , 2CVE-2010 - 1297,3 CVE-2010 - 2883,4 and CVE-2011 - 0611).5 They also used malicious Microsoft Excel and PowerPoint files ( e.g. , CVE-2011 - 12696 and CVE-2009 - 3129)7 to exploit old vulnerabilities in Microsoft Office . Social Engineering Ploy "
"Evolution_Drivers_Duqu_Stuxnet","hasattacktime","Trojan","ORG","November 2010-October 2011","DATE","Although all known variations of Duqu are from the period November 2010 - October 2011 , we believe there were earlier versions of the Trojan spy created to steal information . "
"wp_luckycat_redux","hasattacklocation","Luckycat","PERSON","Japan","GPE","This paper specifically discussed the Luckycat campaign . In the course of our research , we discovered that it had a much more diverse target set than previously thought . Not only did the attackers target military research institutions in India , as earlier disclosed by Symantec , they also targeted sensitive entities in Japan and India as well as Tibetan activists . "
"w32_stuxnet_dossier","indicates","05:52:35","TIME","three","CARDINAL","Variants Out of 3,280 collected samples , three distinct variants have been identified . They have compile times of : Mon Jun 22 16:31:47 2009 ¥ Mon Mar 01 05:52:35 2010 ¥ "
"w32_stuxnet_dossier","indicates","S7-417","PRODUCT","seven minute","TIME","A return to state 1 will occur , resulting in a cycle consisting of waiting approximately 35 days , followed by a seven minute attack phase . Thus , while the clear intention of the S7 - 417 code is unknown , key bits may support the theory of a secondary attack strategy on centrifuge systems within a cascade . "
"wp_dissecting-lurid-apt","hasproduct","Microsoft","ORG","OfÞce","PRODUCT","The links and Þles sent by the attacker contain malicious code that exploits vulnerabilities in popular software such as Adobe Reader ( e.g. pdfÕs ) and Microsoft OfÞce ( e.g. docÕs ) . "
"wp_luckycat_redux","hasattacklocation","Luckycat","PERSON","India","GPE","Diversity of Targets The Luckycat campaign , which has been active since at least June 2011 , has been linked to 90 attacks against targets in Japan and India as well as Tibetan activists . "
"Aurora_Botnet_Command_Structure","hasproduct","Microsoft Antispyware Services","ORG","Aurora","PRODUCT","The SYS Component is related to the publicly known and notoriously popular Aurora variant tied to the Google attack . The EXE component disguises itself as Microsoft Antispyware Services . "
"C5_APT_SKHack","hasproduct","Microsoft","ORG","Windows","PRODUCT","There are anumber of known vulnerabilities for both IIS and Microsoft Windows which potentially could havebeen exploited and resulted in the compromise ofthewebserver26 . "
"Know Your Digital Enemy","hasproduct","Microsoft","ORG","Windows","PRODUCT","The server is a small Microsoft Windows DLL that runs on a compromised host . "
"C5_APT_SKHack","hasproduct","Microsoft","ORG","Windows","PRODUCT","An archived error page shows the Ôcph.com.twÕ website wasrunning onanIISserverinlate2010.(TheInternetArchive2010 ) likely running Microsoft Windows . "
"wp_the_taidoor_campaign","hasattacktime","Taidoor","PERSON","at least March 4, 2009","DATE","As such , we were able to provide an overview of the Taidoor campaign , including the attack vectors and malware the attackers used , and come up with a remediation strategy . CONTEXT The Taidoor attackers have been actively engaging in targeted attacks since at least March 4 , 2009 . "
"Aurora_Botnet_Command_Structure","hasattacklocation","Aurora","ORG","China","GPE","Hosts compromised with Aurora botnet agents and rallied to the botnet Command - and - Control ( CnC ) channels were distributed across multiple countries before the public disclosure of Aurora , with the top five countries being the United States , China , Germany , Taiwan and the United Kingdom . "
"wp_luckycat_redux","hasattacklocation","Luckycat","ORG","India","GPE","The Luckycat campaign has been active since at least June 2011 . Victims and Targets APT campaigns target specific industries or communities of interest in specific regions . The Luckycat campaign has been linked to 90 attacks against the following industries and/or communities in Japan and India : "
"C5_APT_SKHack","hasproduct","Microsoft","ORG","Windows","PRODUCT","IIS runs on the Microsoft Windows operatingsystem , indicating the compromised server was 18 Antivirus software detects the file asÔHeuristic . "
"Aurora_Botnet_Command_Structure","hasproduct","Google","ORG","Aurora","PRODUCT","The botnet operators behind the Google Aurora attacks deployed other malware families prior to the Trojan . Hydraq release . "
"wp_luckycat_redux","hasattacklocation","Luckycat","PERSON","India","GPE","This paper specifically discussed the Luckycat campaign . In the course of our research , we discovered that it had a much more diverse target set than previously thought . Not only did the attackers target military research institutions in India , as earlier disclosed by Symantec , they also targeted sensitive entities in Japan and India as well as Tibetan activists . "
"wp_luckycat_redux","hasattacklocation","Luckycat","PERSON","Japan","GPE","Diversity of Targets The Luckycat campaign , which has been active since at least June 2011 , has been linked to 90 attacks against targets in Japan and India as well as Tibetan activists . "
"wp_ixeshe","hasattacklocation","Modus Operandi","ORG","China","GPE","This date format is only commonly used in China , Korea , Iran , Japan , Hungary , Lithuania , and the United States . Based on the limited amount of information we gathered about the attackers , it was very difficult to pinpoint their exact location . Unique Fingerprints and Modus Operandi An attack can be considered associated with the gang behind the IXESHE campaign if it exhibits the following characteristics : ¥ Uses a specially crafted targeted email with a malicious file attachment ¥ Uses document exploits , primarily .PDF files , to drop malware into target systems ¥ Uses malware detected by security vendors as IXESHE variants "
"FTA1001-The_RSA_Hack","hasproduct","Adobe","ORG","Flash","PRODUCT","Risk Assessment Microsoft OfÞce and Adobe Flash are ubiquitous , and while OfÞce is relatively easy for mostorganizations to patch , Adobe Flash is far more challenging . "
"Aurora_Botnet_Command_Structure","hasproduct","Microsoft Antispyware Services","ORG","Google","PRODUCT","The SYS Component is related to the publicly known and notoriously popular Aurora variant tied to the Google attack . The EXE component disguises itself as Microsoft Antispyware Services . "
"fireeye-poison-ivy-report","hasproduct","Microsoft","ORG","Word","PRODUCT","Weaponization The menuPass campaign has used weaponized Microsoft Word documents ( CVE-2010 - 3333)35 and ZIP files containing executable files to drop PIVY directly onto its targets . "
"dissecting-operation-troy","hasattacktime","Trojan","ORG","August 28, 2012","DATE","After execution the Trojan makes a connection to the control server using specific parameters that include the IRC nickname . This communication pattern is consistent with other variants that reference Troy . Tong : 2012 The Tong variant contains the compile path E:\Tong\Work\Op\1Mission\Team_Project\[2012.6~]\HTTP Trojan 2.0\HttpDr0pper\ Win32\Release . It also communicated using the same methods . This Trojan was compiled on August 28 , 2012 . "
"VOHO_WP_FINAL_READY-FOR-Publication-09242012_AC","hasattacklocation","ÔVOHOÕ","ORG","Hong Kong","GPE","The RSA - FirstWatch teamÕs research led to the identification of this campaign and its name , ÔVOHOÕ . From a tools , technique and procedure ( TTP ) perspective , the RSA FirstWatch team believes this campaign aligns with the Advanced Persistent Threat ( APT ) threat model , including communications emitting from compromised hosts to IP addresses confirmed as Command and Control ( C2 ) servers ( in this case , located in Hong Kong ) ; code re - use using exploit scripts and ultimately , a before - unseen variant of ÒGh0st RATÓ malware . "
"w32_stuxnet_dossier","indicates","Stuxnet","PRODUCT","three","CARDINAL","For example , once the removable drive has infected three computers , the files on the removable drive will be deleted . If called from Export 1 or 32 , Stuxnet will first verify it is running within services.exe , and determines which version of Windows it is running on . "
"Stuxnet_Under_the_Microscope","hasproduct","Microsoft","ORG","Windows","PRODUCT","AIY , also known as TDL4 ( you can read "" TDL3 : The Rootkit of All Evil ? "" report for detailed information about previous version of the rootkit ) appeared in the end of November which is capable of elevating privileges on Microsoft Windows operating systems starting from Windows Vista by means of exploiting the MS10 - 092 vulnerability . "
"FTA1001-The_RSA_Hack","hasproduct","Microsoft","ORG","OfÞce","PRODUCT","The unusual packaging of the threat is its greatest weakness : there exist few legitimateuses for a Microsoft OfÞce document with embedded Flash and thus we recommend detectingand / or excising such an uncommon Þle when it appears in network streams . "
"Combating Threats - Operation Aurora","hasproduct","Microsoft","ORG","Internet Explorer","PRODUCT","Combating Aurora Overview ÒOperation Aurora , Ó released the week of January 11 , exploits the recent Microsoft Internet Explorer vulnerability . "
"Faces_Ghost_RAT","hasattacklocation","Winds","ORG","CHINA","GPE","7hero , Adobe , B1X6Z , BEiLa , BeiJi , ByShe , FKJP3 , FLYNN , FWAPR , FWKJG , GWRAT , Gh0st , GOLDt , HEART , HTTPS , HXWAN , Heart , IM007 , ITore , KOBBX , KrisR , LUCKK , LURK0 , LYRAT , Level , Lover , Lyyyy , MYFYB , MoZhe , MyRat , OXXMM , PCRat , QWPOT , Spidern , Tyjhu , URATU , W0LFKO , Wangz , Winds , World , X6RAT , XDAPR , Xjjhj , ag0 ft , attac , cb1st , https , whmhl , xhjyk Table 1 . Gh0st magic tags used in this paper 00000 , ABCDE , apach , Assas , Blues , chevr , CHINA , cyl22 , DrAgOn EXXMM , Eyes1 , Gi0st , GM110 , Hello , httpx , kaGni , light , LkxCq , lvxYT , Naver , NIGHT , NoNul , Origi , QQ_124971919 , Snown , SocKt , Super , Sw@rd , v2010 , VGTLS , wcker , Wh0vt , wings , X6M9 K , xqwf7 , YANGZ Table 2 . "
"WickedRose_andNCPH","hasattacklocation","Wicked Rose","PERSON","China","GPE","At this time Wicked Rose gave 200 RMB to NCPH hackers and kept the rest for himself . Once targeted attacks took place the payment increased five - fold to 5,000 RMB monthly with $ 1,000 a month going to NCPH hackers . This is a significant amount of money in China , effectively paying hackers a full - time wage for part - time hacking . "
"tb_advanced_persistent_threats","hasattacklocation","Poison Ivy","ORG","China","GPE","More recently , in July 2011 , open - source reports4 exist of Poison Ivy usage surrounding the FLOWER - SHOW.ORG domain . This incident exploited PDF vulnerabilities ( CVE-2010 - 2883 ) in attached spear - phishing emails targeting experts on Japan , China , Taiwan / USA relationships . "
"Know Your Digital Enemy","hasproduct","Windows","ORG","DLL","PRODUCT","The second binary is a Windows DLL that gets installed on a compromised host as a Windows service . "
