"FileName","RelationType","Entity1Mention","Entity1Type","Entity2Mention","Entity2Type","Context"
"Unveiling-Patchwork","hasproduct","Microsoft","ORG","Windows","PRODUCT","UploadFile(args[1 ] , "" POST "" , fileName ) ; } catch { } } } } PRIVILEGE ESCALATION After the previous stages , the payload uses a well known and as - of - yet unpatched UAC bypass vulnerability in Microsoft Windows ( known as UACME8 ) , which works on the default setup of Windows 79 . "
"rise-telebots-analyzing-disruptive-killdisk-attacks","hasproduct","Microsoft","ORG","PsExec","PRODUCT","Since at the final stage attackers have probably collected network administratorï¿½ level credentials , thatâ€ ™ s why they are using Microsoft PsExec in order to execute KillDisk with the highest possible privileges on servers and workstations . "
"waterbug-attack-group","hasproduct","Adobe","ORG","Acrobat","PRODUCT","The attachment used one zero - day exploit against the Adobe Acrobat and Reader ToolButton Object UseAfter- Free Remote Code Execution Vulnerability ( CVE-2013 - 3346 ) to elevate privileges and a second patched exploit "
"blackenergy-apt-attacks-in-ukraine-employ-spearphishing-with-word-documents","hasproduct","BlackEnergy","ORG","Trojans","PRODUCT","BlackEnergy Trojans as well as several new modules . "
"rpt-china-espionage","hasattacklocation","Tsai","PERSON","China","GPE","Power â€We hope Tsai can lead the DPP out of the hallucinations of Taiwan independence , and contribute to the peaceful and common development between Taiwan and the mainland.â€24 Editorial published in the Global Times , state - run paper . â€There is only one China in the World , the mainland and Taiwan both belong to one China and Chinaâ€ ™ s sovereignty and territorial integrity will not brook being broken up . "
"unit42-tracking-elirks-variants-in-japan-similarities-to-previous-attacks","hasattacklocation","FakeM","ORG","Japan","GPE","Anna Lough on June 25 , 2016 MOREâ† ’ malware primarily used in this series of attacks was FakeM. Our researchers described the threat sharing infrastructure with Elirks in the report . As of this writing , we can note similarities between previously seen Elirks attacks and this recent case in Japan . "
"2016_005_001_454247","hasproduct","Microsoft","ORG","Windows","PRODUCT","It is clear from inspecting the traffic that a number of honeynet hosts are running Microsoft Windows . "
"blackenergy-apt-attacks-in-ukraine-employ-spearphishing-with-word-documents","hasproduct","BlackEnergy","ORG","Trojans","PRODUCT","BlackEnergy Trojans as well as several new modules . "
"ProjectSauron_ top level cyber-espionage platform covertly extracts encrypted government comms - Securelist","hasproduct","Microsoft","ORG","Windows","PRODUCT","ProjectSauron works on all modern Microsoft Windows operating systems "
"cve-2015-2545-overview-of-current-threats","hasattacklocation","Danti","PERSON","Uzbekistan","GPE","Danti ( Kaspersky Labâ€ ™ s internal name ) is anAPT actor that has been active at least since 2015 , predominantly targeting Indian government organizations . According to our telemetry , Danti has also been actively hitting targets in Kazakhstan , Kyrgyzstan , Uzbekistan , Myanmar , Nepal and the Philippines . "
"strider-cyberespionage-group-turns-eye-sauron-targets","hasattacklocation","Strider","ORG","China","GPE","Strider has been conducting cyberespionage - style attacks against selected targets in Russia , China , Sweden , and Belgium . "
"unit42-projectm-link-found-between-pakistani-actor-and-operation-transparent-tribe","hasattacklocation","Operation  Transparent  Tribe","ORG","Pakistan","GPE","This attack appears to overlap with the Operation Transparent Tribe and Operation C - Major campaigns that targeted Indian embassies in SaudiArabia and Kazakhstan , as well as the Indian military . We are tracking the group of actors involved in this campaign as â€˜ProjectM.â€ ™ During our research , we found a linkage between the infrastructure used by ProjectM and an individual from Pakistan . "
"strider-cyberespionage-group-turns-eye-sauron-targets","hasattacklocation","Strider","ORG","Russia","GPE","Strider has been highly selective in its choice of targets and , to date , Symantec has found evidence of infections in 36 computers across seven separate organizations . The groupâ€ ™ s targets include a number of organizations and individuals located in Russia , an airline in China , an organization in Sweden , and an embassy in Belgium . "
"2016_005_001_454247","hasproduct","Microsoft","ORG","Windows","PRODUCT","0.0.0.20 Linux 0.0.0.21 Microsoft Windows ( Vista or later ) 5.2 Characterization of Threat Actors Through Analytic Pivoting "
"strider-cyberespionage-group-turns-eye-sauron-targets","hasattacklocation","Strider","ORG","China","GPE","Strider has been highly selective in its choice of targets and , to date , Symantec has found evidence of infections in 36 computers across seven separate organizations . The groupâ€ ™ s targets include a number of organizations and individuals located in Russia , an airline in China , an organization in Sweden , and an embassy in Belgium . "
"rpt-china-espionage","hasattacklocation","Tsai","PERSON","Taiwan","GPE","Power â€We hope Tsai can lead the DPP out of the hallucinations of Taiwan independence , and contribute to the peaceful and common development between Taiwan and the mainland.â€24 Editorial published in the Global Times , state - run paper . â€There is only one China in the World , the mainland and Taiwan both belong to one China and Chinaâ€ ™ s sovereignty and territorial integrity will not brook being broken up . "
