"FileName","RelationType","Entity1Mention","Entity1Type","Entity2Mention","Entity2Type","Context"
"Shadow Force Uses DLL Hijacking, Targets South Korean Company","hasattacklocation","Dove Chiu","PERSON","South Korea","GPE","» Malware Â » Shadow Force Uses DLL Hijacking , Targets South Korean Company Shadow Force Uses DLL Hijacking , Targets SouthKorean Company Posted on : September 9 , 2015 at 1:00 am Posted in : Malware , Targeted Attacks Author : Dove Chiu ( Threat Researcher ) 0 What sort of interest would a businessman have in a news agency ? That was the question that arose from our recent investigation on an attack that appears to target amedia agency in South Korea . "
"The-Desert-Falcons-targeted-attacks","hasproduct","Falcons","ORG","Trojan","PRODUCT","This campaign mainly targeted victims in Israel using the main Falcons Trojan . "
"Anthem_hack_all_roads_lead_to_China","hasattacklocation","Song Yubo","PERSON","China","GPE","We shared with them everything that we knew at the time , walking through the technical details which led us all the way to Song Yubo and the competition announcement . From there , they were able to uncover a wealth of very consequential background information on Beijing Topsec Technology Co ( Beijing Topsec ) , the sponsoring organization for Song Yuboâ€ ™ s information security competition . DGIâ€ ™ s research indicated that Beijing Topsec is one of the largest information security hardware providers in China . "
"bbsrat-attacks-targeting-russian-organizations-linked-to-roaming-tiger","hasproduct","Microsoft","ORG","Windows","PRODUCT","This ensures that the DLL specified will load when Microsoft Windows starts . "
"A_Fanny_Equation","hasattacklocation","Fanny","PERSON","Pakistan","GPE","As a precursor for the versions of Stuxnet that could replicate through the network , itâ€ ™ s possible that Fanny was used to map some of the future targets of Stuxnet . Another unusual fact is the very high number of infections coming from Pakistan . Since Fanny spreads only through USB sticks , which is rather slow , this indicates that the infection began in Pakistan , possibly before many other countries . "
"the-anthem-hack-all-roads-lead-to-china","hasattacklocation","Song  Yubo","PERSON","China","GPE","We shared with them everything that we knew at the time , walking through the technical details which led us all the way to Song Yubo and the competition announcement . From there , they were able to uncover a wealth of very consequential background information on Beijing Topsec Technology Co ( Beijing Topsec ) , the sponsoring organization for Song Yuboâ€ ™ s information security competition . DGIâ€ ™ s research indicated that Beijing Topsec is one of the largest information security hardware providers in China . "
"waterbug-attack-group","hasproduct","Adobe","ORG","Acrobat","PRODUCT","The attachment used one zero - day exploit against the Adobe Acrobat and Reader ToolButton Object UseAfter- Free Remote Code Execution Vulnerability ( CVE-2013 - 3346 ) to elevate privileges and a second patched exploit "
"The_EPS_Awakens_Part_2","hasproduct","Microsoft","ORG","Word","PRODUCT","Phish SMTP header Each phishing message contained the same malicious Microsoft Word attachment . "
"The Anthem Hack_ All Roads Lead to China - ThreatConnect _ Enterprise Threat Intelligence Platform","hasattacklocation","Song  Yubo","PERSON","China","GPE","We shared with them everything that we knew at the time , walking through the technical details which led us all the way to Song Yubo and the competition announcement . From there , they were able to uncover a wealth of very consequential background information on Beijing Topsec Technology Co ( Beijing Topsec ) , the sponsoring organization for Song Yuboâ€ ™ s information security competition . DGIâ€ ™ s research indicated that Beijing Topsec is one of the largest information - security hardware providers in China . "
"the-anthem-hack-all-roads-lead-to-china","hasattacklocation","Song  Yubo","PERSON","China","GPE","Summary : Song Yubo and his research center at Southeast University appear to be central players in this narrative , as highlighted by their financial connections to theï¿½ government of China , in particular the Ministry of State Security ( MSS ) , Chinaâ€ ™ s premier human intelligence agency . "
